TankID,GasStationID,TankName,Capacity,MaterialType,CurrentQuantity
52,18,RON95-III Tank,80000,Steel,43354.679999999986
53,18,E5 RON92-II Tank,80000,Steel,43295.63999999995
54,18,"DO 0,001S-V Tank",20000,Steel,16582.919999999984
55,19,RON95-III Tank,40000,Steel,10984.620000000012
56,19,E5 RON92-II Tank,10000,Steel,2784.3199999999965
57,19,"DO 0,001S-V Tank",20000,Steel,16793.460000000006
58,20,RON95-III Tank,40000,Steel,10862.320000000049
59,20,E5 RON92-II Tank,10000,Steel,2684.2000000000094
60,20,"DO 0,001S-V Tank",20000,Steel,16423.469999999983
61,21,RON95-III Tank,40000,Steel,10653.479999999883
62,21,E5 RON92-II Tank,40000,Steel,11323.080000000024
63,21,"DO 0,001S-V Tank",20000,Steel,16386.300000000043
64,22,RON95-III Tank,20000,Steel,10860.930000000055
65,22,E5 RON92-II Tank,10000,Steel,3148.440000000009
66,22,"DO 0,001S-V Tank",10000,Steel,8752.430000000006
67,23,RON95-III Tank,40000,Steel,11622.430000000008
68,23,E5 RON92-II Tank,40000,Steel,11716.079999999942
69,23,"DO 0,001S-V Tank",20000,Steel,17447.88
70,24,RON95-III Tank,20000,Steel,10576.570000000043
71,24,E5 RON92-II Tank,10000,Steel,2868.6799999999816
72,24,"DO 0,001S-V Tank",20000,Steel,16228.379999999983
73,25,RON95-III Tank,40000,Steel,11597.720000000012
74,25,E5 RON92-II Tank,20000,Steel,10931.139999999981
75,25,"DO 0,001S-V Tank",20000,Steel,16245.270000000015
76,26,RON95-III Tank,10000,Steel,3127.710000000019
77,26,E5 RON92-II Tank,10000,Steel,3362.1000000000126
78,26,"DO 0,001S-V Tank",10000,Steel,8101.130000000005
79,27,RON95-III Tank,20000,Steel,11572.77000000002
80,27,E5 RON92-II Tank,40000,Steel,11725.460000000101
81,27,"DO 0,001S-V Tank",20000,Steel,16331.339999999991
82,28,RON95-III Tank,20000,Steel,11062.709999999965
83,28,E5 RON92-II Tank,40000,Steel,11186.409999999976
84,28,"DO 0,001S-V Tank",20000,Steel,16626.910000000014
85,29,RON95-III Tank,40000,Steel,10406.20999999998
86,29,E5 RON92-II Tank,40000,Steel,10702.149999999983
87,29,"DO 0,001S-V Tank",10000,Steel,8125.949999999996
88,30,RON95-III Tank,20000,Steel,10341.539999999957
89,30,E5 RON92-II Tank,40000,Steel,10574.63
90,30,"DO 0,001S-V Tank",40000,Steel,15761.760000000028
91,31,RON95-III Tank,20000,Steel,10769.310000000054
92,31,E5 RON92-II Tank,20000,Steel,10418.82
93,31,"DO 0,001S-V Tank",20000,Steel,16258.39000000001
94,32,RON95-III Tank,20000,Steel,10846.690000000024
95,32,E5 RON92-II Tank,10000,Steel,2802.190000000017
96,32,"DO 0,001S-V Tank",10000,Steel,8424.139999999994
97,33,RON95-III Tank,20000,Steel,11280.430000000008
98,33,E5 RON92-II Tank,20000,Steel,11497.429999999975
99,33,"DO 0,001S-V Tank",80000,Steel,48843.999999999854
100,34,RON95-III Tank,20000,Steel,10983.700000000004
101,34,E5 RON92-II Tank,20000,Steel,11597.729999999992
102,34,"DO 0,001S-V Tank",80000,Steel,48390.74000000009
103,35,RON95-III Tank,10000,Steel,2942.140000000003
104,35,E5 RON92-II Tank,20000,Steel,11007.829999999982
105,35,"DO 0,001S-V Tank",80000,Steel,47926.68000000003
106,36,RON95-III Tank,10000,Steel,3186.219999999995
107,36,E5 RON92-II Tank,40000,Steel,11148.760000000033
108,36,"DO 0,001S-V Tank",80000,Steel,49457.409999999996
109,37,RON95-III Tank,40000,Steel,10417.73000000006
110,37,E5 RON92-II Tank,20000,Steel,10518.47000000004
111,37,"DO 0,001S-V Tank",80000,Steel,48200.56000000007
112,38,RON95-III Tank,10000,Steel,3304.3999999999996
113,38,E5 RON92-II Tank,10000,Steel,2909.5900000000097
114,38,"DO 0,001S-V Tank",10000,Steel,8584.939999999997
115,39,RON95-III Tank,10000,Steel,2731.3600000000006
116,39,E5 RON92-II Tank,80000,Steel,42674.559999999896
117,39,"DO 0,001S-V Tank",80000,Steel,48410.93000000002
118,40,RON95-III Tank,10000,Steel,3029.1900000000032
119,40,E5 RON92-II Tank,40000,Steel,11063.720000000061
120,40,"DO 0,001S-V Tank",20000,Steel,16394.23000000001
121,41,RON95-III Tank,20000,Steel,8242.229999999992
122,41,E5 RON92-II Tank,40000,Steel,24462.90999999997
123,41,"DO 0,001S-V Tank",20000,Steel,18205.91000000001
124,42,RON95-III Tank,20000,Steel,7797.390000000012
125,42,E5 RON92-II Tank,10000,Steel,7487.530000000003
126,42,"DO 0,001S-V Tank",10000,Steel,9996.09
127,43,RON95-III Tank,40000,Steel,23631.38999999996
128,43,E5 RON92-II Tank,40000,Steel,23075.680000000008
129,43,"DO 0,001S-V Tank",40000,Steel,34075.329999999994
130,44,RON95-III Tank,10000,Steel,8482.090000000006
131,44,E5 RON92-II Tank,40000,Steel,23566.80999999997
132,44,"DO 0,001S-V Tank",80000,Steel,34585.689999999995
133,45,RON95-III Tank,20000,Steel,7967.590000000005
134,45,E5 RON92-II Tank,10000,Steel,8632.139999999996
135,45,"DO 0,001S-V Tank",40000,Steel,34544.15999999993
136,46,RON95-III Tank,20000,Steel,8719.010000000011
137,46,E5 RON92-II Tank,80000,Steel,24345.630000000117
138,46,"DO 0,001S-V Tank",10000,Steel,3290.7599999999884
139,47,RON95-III Tank,10000,Steel,8065.399999999994
140,47,E5 RON92-II Tank,80000,Steel,23572.630000000096
141,47,"DO 0,001S-V Tank",10000,Steel,9936.829999999998
142,48,RON95-III Tank,20000,Steel,6931.479999999997
143,48,E5 RON92-II Tank,80000,Steel,23381.600000000017
144,48,"DO 0,001S-V Tank",10000,Steel,9850.089999999998
145,49,RON95-III Tank,40000,Steel,23863.40000000001
146,49,E5 RON92-II Tank,80000,Steel,23894.82999999984
147,49,"DO 0,001S-V Tank",80000,Steel,34653.120000000126
148,50,RON95-III Tank,20000,Steel,8521.869999999975
149,50,E5 RON92-II Tank,40000,Steel,24870.649999999852
150,50,"DO 0,001S-V Tank",20000,Steel,18865.890000000003
151,51,RON95-III Tank,80000,Steel,24838.989999999998
152,51,E5 RON92-II Tank,40000,Steel,24952.370000000134
153,51,"DO 0,001S-V Tank",10000,Steel,3260.9499999999816
154,52,RON95-III Tank,80000,Steel,23498.869999999893
155,52,E5 RON92-II Tank,40000,Steel,23835.159999999938
156,52,"DO 0,001S-V Tank",20000,Steel,18418.690000000002
157,53,RON95-III Tank,20000,Steel,8921.559999999954
158,53,E5 RON92-II Tank,40000,Steel,24219.759999999864
159,53,"DO 0,001S-V Tank",10000,Steel,3171.36999999999
160,54,RON95-III Tank,20000,Steel,8377.520000000026
161,54,E5 RON92-II Tank,20000,Steel,8562.659999999994
162,54,"DO 0,001S-V Tank",40000,Steel,35629.58000000002
163,55,RON95-III Tank,20000,Steel,7716.769999999991
164,55,E5 RON92-II Tank,20000,Steel,7729.459999999978
165,55,"DO 0,001S-V Tank",40000,Steel,34136.490000000034
166,56,RON95-III Tank,10000,Steel,8756.140000000007
167,56,E5 RON92-II Tank,80000,Steel,24594.340000000073
168,56,"DO 0,001S-V Tank",10000,Steel,3144.799999999993
169,57,RON95-III Tank,10000,Steel,7857.319999999978
170,57,E5 RON92-II Tank,40000,Steel,24022.179999999968
171,57,"DO 0,001S-V Tank",40000,Steel,34408.34999999994
172,58,RON95-III Tank,20000,Steel,7916.540000000025
173,58,E5 RON92-II Tank,80000,Steel,23847.909999999785
174,58,"DO 0,001S-V Tank",40000,Steel,34766.86999999999
175,59,RON95-III Tank,80000,Steel,24238.28000000007
176,59,E5 RON92-II Tank,40000,Steel,24198.66000000009
177,59,"DO 0,001S-V Tank",20000,Steel,18475.849999999995
178,60,RON95-III Tank,20000,Steel,7569.510000000001
179,60,E5 RON92-II Tank,40000,Steel,23490.719999999932
180,60,"DO 0,001S-V Tank",10000,Steel,2007.990000000004
181,61,RON95-III Tank,80000,Steel,23277.490000000293
182,61,E5 RON92-II Tank,80000,Steel,23620.109999999764
183,61,"DO 0,001S-V Tank",10000,Steel,2249.610000000008
184,62,RON95-III Tank,80000,Steel,23659.629999999863
185,62,E5 RON92-II Tank,80000,Steel,23355.1299999999
186,62,"DO 0,001S-V Tank",40000,Steel,33776.22000000005
187,63,RON95-III Tank,20000,Steel,8720.460000000003
188,63,E5 RON92-II Tank,10000,Steel,7969.930000000006
189,63,"DO 0,001S-V Tank",80000,Steel,34832.99999999995
190,64,RON95-III Tank,10000,Steel,8011.570000000006
191,64,E5 RON92-II Tank,40000,Steel,24057.809999999994
192,64,"DO 0,001S-V Tank",10000,Steel,2837.4399999999914
193,65,RON95-III Tank,80000,Steel,23162.950000000026
194,65,E5 RON92-II Tank,10000,Steel,6603.8200000000015
195,65,"DO 0,001S-V Tank",80000,Steel,34220.09000000014
196,66,RON95-III Tank,40000,Steel,23410.48999999999
197,66,E5 RON92-II Tank,10000,Steel,8284.539999999994
198,66,"DO 0,001S-V Tank",40000,Steel,34592.96000000001
199,67,RON95-III Tank,40000,Steel,23140.829999999893
200,67,E5 RON92-II Tank,40000,Steel,23415.970000000132
201,67,"DO 0,001S-V Tank",80000,Steel,34594.3000000001
202,68,RON95-III Tank,40000,Steel,24270.509999999857
203,68,E5 RON92-II Tank,40000,Steel,24376.419999999955
204,68,"DO 0,001S-V Tank",80000,Steel,35309.21000000001
205,69,RON95-III Tank,80000,Steel,22995.860000000182
206,69,E5 RON92-II Tank,20000,Steel,6797.299999999999
207,69,"DO 0,001S-V Tank",40000,Steel,34265.55000000006
208,70,RON95-III Tank,40000,Steel,23626.840000000007
209,70,E5 RON92-II Tank,80000,Steel,23491.9499999999
210,70,"DO 0,001S-V Tank",20000,Steel,17703.39
211,71,RON95-III Tank,10000,Steel,7414.940000000011
212,71,E5 RON92-II Tank,80000,Steel,63950.960000000334
213,71,"DO 0,001S-V Tank",40000,Steel,16648.469999999932
214,72,RON95-III Tank,80000,Steel,63230.4200000001
215,72,E5 RON92-II Tank,20000,Steel,14906.489999999994
216,72,"DO 0,001S-V Tank",10000,Steel,8842.789999999999
217,73,RON95-III Tank,80000,Steel,63448.13000000011
218,73,E5 RON92-II Tank,10000,Steel,7423.379999999988
219,73,"DO 0,001S-V Tank",10000,Steel,8819.00999999999
220,74,RON95-III Tank,40000,Steel,31620.959999999992
221,74,E5 RON92-II Tank,40000,Steel,31084.049999999996
222,74,"DO 0,001S-V Tank",80000,Steel,16939.400000000078
223,75,RON95-III Tank,80000,Steel,63899.770000000426
224,75,E5 RON92-II Tank,40000,Steel,32462.150000000005
225,75,"DO 0,001S-V Tank",10000,Steel,8565.400000000005
226,76,RON95-III Tank,40000,Steel,31478.970000000078
227,76,E5 RON92-II Tank,40000,Steel,31421.659999999963
228,76,"DO 0,001S-V Tank",40000,Steel,15666.379999999926
229,77,RON95-III Tank,80000,Steel,64269.20999999983
230,77,E5 RON92-II Tank,10000,Steel,8319.359999999999
231,77,"DO 0,001S-V Tank",20000,Steel,17637.509999999995
232,78,RON95-III Tank,40000,Steel,30147.490000000136
233,78,E5 RON92-II Tank,10000,Steel,6653.809999999999
234,78,"DO 0,001S-V Tank",40000,Steel,15444.239999999894
235,79,RON95-III Tank,80000,Steel,62611.159999999705
236,79,E5 RON92-II Tank,20000,Steel,15127.079999999989
237,79,"DO 0,001S-V Tank",10000,Steel,8260.369999999999
238,80,RON95-III Tank,40000,Steel,30732.43999999994
239,80,E5 RON92-II Tank,20000,Steel,14771.540000000023
240,80,"DO 0,001S-V Tank",10000,Steel,8698.510000000006
241,81,RON95-III Tank,80000,Steel,64766.690000000206
242,81,E5 RON92-II Tank,40000,Steel,34185.49
243,81,"DO 0,001S-V Tank",40000,Steel,18570.63999999986
244,82,RON95-III Tank,40000,Steel,30602.619999999893
245,82,E5 RON92-II Tank,80000,Steel,61675.76000000003
246,82,"DO 0,001S-V Tank",20000,Steel,15468.289999999992
247,83,RON95-III Tank,80000,Steel,62527.12999999994
248,83,E5 RON92-II Tank,80000,Steel,63240.46000000013
249,83,"DO 0,001S-V Tank",20000,Steel,15947.850000000017
250,84,RON95-III Tank,80000,Steel,63724.95000000019
251,84,E5 RON92-II Tank,10000,Steel,7028.440000000009
252,84,"DO 0,001S-V Tank",20000,Steel,16268.33999999997
253,85,RON95-III Tank,80000,Steel,62550.80000000015
254,85,E5 RON92-II Tank,20000,Steel,15289.320000000045
255,85,"DO 0,001S-V Tank",80000,Steel,16014.299999999968
256,86,RON95-III Tank,10000,Steel,6761.869999999987
257,86,E5 RON92-II Tank,80000,Steel,62807.94999999959
258,86,"DO 0,001S-V Tank",10000,Steel,7857.52000000001
259,87,RON95-III Tank,80000,Steel,64482.80999999988
260,87,E5 RON92-II Tank,20000,Steel,14924.209999999977
261,87,"DO 0,001S-V Tank",10000,Steel,8531.559999999996
262,88,RON95-III Tank,80000,Steel,62692.99999999987
263,88,E5 RON92-II Tank,80000,Steel,62279.36000000056
264,88,"DO 0,001S-V Tank",80000,Steel,16039.12999999976
265,89,RON95-III Tank,10000,Steel,6512.020000000006
266,89,E5 RON92-II Tank,80000,Steel,63151.479999999865
267,89,"DO 0,001S-V Tank",40000,Steel,16074.940000000011
268,90,RON95-III Tank,80000,Steel,63269.06000000001
269,90,E5 RON92-II Tank,10000,Steel,7053.750000000016
270,90,"DO 0,001S-V Tank",40000,Steel,16944.319999999985
271,91,RON95-III Tank,20000,Steel,7112.2499999999945
272,91,E5 RON92-II Tank,40000,Steel,22616.019999999873
273,91,"DO 0,001S-V Tank",40000,Steel,10281.570000000023
274,92,RON95-III Tank,40000,Steel,21274.450000000048
275,92,E5 RON92-II Tank,80000,Steel,53211.73000000009
276,92,"DO 0,001S-V Tank",80000,Steel,73230.31000000008
277,93,RON95-III Tank,40000,Steel,24196.490000000063
278,93,E5 RON92-II Tank,10000,Steel,7991.779999999981
279,93,"DO 0,001S-V Tank",40000,Steel,12033.420000000093
280,94,RON95-III Tank,80000,Steel,54252.890000000036
281,94,E5 RON92-II Tank,20000,Steel,6799.460000000016
282,94,"DO 0,001S-V Tank",40000,Steel,10548.580000000113
283,95,RON95-III Tank,10000,Steel,7554.950000000006
284,95,E5 RON92-II Tank,80000,Steel,54858.87999999969
285,95,"DO 0,001S-V Tank",80000,Steel,74180.19000000002
286,96,RON95-III Tank,10000,Steel,7997.949999999994
287,96,E5 RON92-II Tank,80000,Steel,55191.99999999957
288,96,"DO 0,001S-V Tank",10000,Steel,2924.289999999992
289,97,RON95-III Tank,20000,Steel,6861.550000000003
290,97,E5 RON92-II Tank,20000,Steel,7604.229999999929
291,97,"DO 0,001S-V Tank",80000,Steel,74086.24999999988
292,98,RON95-III Tank,20000,Steel,6298.550000000011
293,98,E5 RON92-II Tank,10000,Steel,6779.870000000008
294,98,"DO 0,001S-V Tank",20000,Steel,10386.030000000002
295,99,RON95-III Tank,20000,Steel,6078.88000000004
296,99,E5 RON92-II Tank,20000,Steel,5961.749999999995
297,99,"DO 0,001S-V Tank",80000,Steel,73740.2700000001
298,100,RON95-III Tank,80000,Steel,55663.699999999946
299,100,E5 RON92-II Tank,20000,Steel,7705.099999999994
300,100,"DO 0,001S-V Tank",10000,Steel,2821.719999999991
