InvoiceID,CustomerID,EmployeeID,GasStationID,IssueDate,TotalAmount,PaymentMethod
878,443,146,5,2024-03-15 03:00:00,183046.9,Credit Card
879,456,275,6,2024-03-15 03:00:00,951311.3,Credit Card
880,635,58,6,2024-03-15 03:00:00,131444.19999999998,Credit Card
881,922,111,6,2024-03-15 03:00:00,850481.9,Credit Card
882,904,186,9,2024-03-15 03:00:00,497682.7,Cash
883,350,26,10,2024-03-15 03:00:00,433731.8,Cash
884,662,26,10,2024-03-15 03:00:00,573102.2000000001,Cash
885,825,194,10,2024-03-15 03:00:00,108082.5,Credit Card
1185,478,54,1,2024-03-15 04:00:00,96931.3,Cash
1186,862,257,2,2024-03-15 04:00:00,491336.0,Credit Card
1187,231,345,2,2024-03-15 04:00:00,170910.2,Credit Card
1188,664,480,4,2024-03-15 04:00:00,611878.8999999999,Credit Card
1189,815,139,4,2024-03-15 04:00:00,333518.9,Credit Card
1190,810,8,5,2024-03-15 04:00:00,831166.7,Credit Card
1191,51,146,5,2024-03-15 04:00:00,159612.5,Cash
1192,651,8,5,2024-03-15 04:00:00,623983.7,Credit Card
1193,864,205,6,2024-03-15 04:00:00,150307.8,Cash
1194,226,111,6,2024-03-15 04:00:00,156431.2,Cash
1195,838,58,6,2024-03-15 04:00:00,119567.1,Credit Card
1196,509,13,7,2024-03-15 04:00:00,1115621.7,Credit Card
1197,835,343,7,2024-03-15 04:00:00,114675.0,Cash
1198,905,251,7,2024-03-15 04:00:00,647894.7,Credit Card
1199,208,322,8,2024-03-15 04:00:00,1309713.4,Cash
1200,977,157,8,2024-03-15 04:00:00,994521.3,Cash
1201,619,147,9,2024-03-15 04:00:00,189965.0,Cash
1202,281,147,9,2024-03-15 04:00:00,683328.2,Cash
1203,525,26,10,2024-03-15 04:00:00,142278.3,Cash
1204,969,194,10,2024-03-15 04:00:00,786370.8999999999,Credit Card
1205,629,194,10,2024-03-15 04:00:00,221346.1,Credit Card
1486,684,305,1,2024-03-15 05:00:00,156465.0,Credit Card
1487,570,54,1,2024-03-15 05:00:00,948402.1,Credit Card
1488,275,54,1,2024-03-15 05:00:00,658873.3999999999,Credit Card
1489,82,345,2,2024-03-15 05:00:00,602146.3,Credit Card
1490,121,258,3,2024-03-15 05:00:00,196255.5,Cash
1491,600,216,3,2024-03-15 05:00:00,707652.3,Credit Card
1492,872,376,3,2024-03-15 05:00:00,434495.1000000001,Cash
1493,602,58,6,2024-03-15 05:00:00,613962.1000000001,Cash
1494,455,275,6,2024-03-15 05:00:00,351794.4,Cash
1495,629,378,7,2024-03-15 05:00:00,88092.0,Cash
1496,47,382,8,2024-03-15 05:00:00,157098.9,Cash
1497,501,112,8,2024-03-15 05:00:00,740550.7,Credit Card
1498,411,332,8,2024-03-15 05:00:00,147939.6,Cash
1499,746,186,9,2024-03-15 05:00:00,188078.8,Credit Card
1500,579,186,9,2024-03-15 05:00:00,198077.3,Cash
1501,168,26,10,2024-03-15 05:00:00,727412.7000000001,Credit Card
1502,511,194,10,2024-03-15 05:00:00,74573.30000000002,Credit Card
1781,659,305,1,2024-03-15 06:00:00,708532.8,Credit Card
1782,15,305,1,2024-03-15 06:00:00,135776.0,Cash
1783,508,305,1,2024-03-15 06:00:00,830557.3,Credit Card
1784,546,305,1,2024-03-15 06:00:00,886651.7,Credit Card
1785,944,305,1,2024-03-15 06:00:00,128428.4,Credit Card
1786,928,305,1,2024-03-15 06:00:00,190826.2,Cash
1787,870,305,1,2024-03-15 06:00:00,192075.6,Credit Card
1788,372,305,1,2024-03-15 06:00:00,171368.40000000002,Cash
1789,698,305,1,2024-03-15 06:00:00,731202.9000000001,Credit Card
1790,553,54,1,2024-03-15 06:00:00,722085.8999999999,Cash
1791,384,305,1,2024-03-15 06:00:00,158383.3,Cash
1792,640,54,1,2024-03-15 06:00:00,680218.2,Cash
1793,631,295,2,2024-03-15 06:00:00,781900.2999999999,Credit Card
1794,379,302,2,2024-03-15 06:00:00,112481.4,Cash
1795,603,302,2,2024-03-15 06:00:00,1055350.6,Cash
1796,673,257,2,2024-03-15 06:00:00,636708.5,Cash
1797,145,91,2,2024-03-15 06:00:00,173215.8,Cash
1798,276,31,3,2024-03-15 06:00:00,152516.9,Credit Card
1799,940,258,3,2024-03-15 06:00:00,109580.5,Credit Card
1800,200,299,3,2024-03-15 06:00:00,429102.8000000001,Cash
1801,756,31,3,2024-03-15 06:00:00,130861.9,Credit Card
1802,267,299,3,2024-03-15 06:00:00,911163.8,Cash
1803,433,31,3,2024-03-15 06:00:00,804235.0,Credit Card
1804,815,258,3,2024-03-15 06:00:00,566172.6,Cash
1805,941,139,4,2024-03-15 06:00:00,116746.1,Cash
1806,948,139,4,2024-03-15 06:00:00,161933.80000000002,Credit Card
1807,173,46,4,2024-03-15 06:00:00,198902.60000000003,Cash
1808,803,69,4,2024-03-15 06:00:00,861173.2,Credit Card
1809,376,480,4,2024-03-15 06:00:00,183631.2,Credit Card
1810,81,139,4,2024-03-15 06:00:00,666330.9,Credit Card
1811,73,319,5,2024-03-15 06:00:00,149672.1,Credit Card
1812,361,8,5,2024-03-15 06:00:00,140570.7,Cash
1813,573,8,5,2024-03-15 06:00:00,113885.6,Cash
1814,892,146,5,2024-03-15 06:00:00,204410.2,Credit Card
1815,169,221,5,2024-03-15 06:00:00,608986.8999999999,Credit Card
1816,540,190,5,2024-03-15 06:00:00,125414.0,Cash
1817,685,190,5,2024-03-15 06:00:00,773666.5,Cash
1818,745,472,5,2024-03-15 06:00:00,527430.2,Credit Card
1819,226,8,5,2024-03-15 06:00:00,908187.0,Credit Card
1820,312,275,6,2024-03-15 06:00:00,926969.2,Cash
1821,302,297,6,2024-03-15 06:00:00,126568.9,Cash
1822,218,275,6,2024-03-15 06:00:00,174425.7,Credit Card
1823,469,275,6,2024-03-15 06:00:00,874259.3,Cash
1824,903,58,6,2024-03-15 06:00:00,681355.9,Credit Card
1825,632,343,7,2024-03-15 06:00:00,719894.8,Credit Card
1826,540,331,7,2024-03-15 06:00:00,113260.7,Cash
1827,888,262,7,2024-03-15 06:00:00,120661.0,Credit Card
1828,786,490,7,2024-03-15 06:00:00,113168.7,Cash
1829,617,13,7,2024-03-15 06:00:00,671468.2,Credit Card
1830,435,251,7,2024-03-15 06:00:00,133461.0,Cash
1831,674,378,7,2024-03-15 06:00:00,220530.9,Cash
1832,492,13,7,2024-03-15 06:00:00,205729.60000000003,Cash
1833,473,378,7,2024-03-15 06:00:00,86755.1,Cash
1834,48,490,7,2024-03-15 06:00:00,94041.2,Credit Card
1835,111,331,7,2024-03-15 06:00:00,118816.1,Cash
1836,368,331,7,2024-03-15 06:00:00,470672.0,Cash
1837,665,343,7,2024-03-15 06:00:00,128373.2,Credit Card
1838,566,322,8,2024-03-15 06:00:00,505386.79999999993,Cash
1839,894,157,8,2024-03-15 06:00:00,201191.8,Cash
1840,14,71,8,2024-03-15 06:00:00,167273.1,Cash
1841,969,382,8,2024-03-15 06:00:00,832885.2000000001,Cash
1842,936,11,8,2024-03-15 06:00:00,105639.8,Credit Card
1843,426,157,8,2024-03-15 06:00:00,64793.8,Cash
1844,229,147,9,2024-03-15 06:00:00,701493.0,Credit Card
1845,896,186,9,2024-03-15 06:00:00,396038.4,Credit Card
1846,549,186,9,2024-03-15 06:00:00,190535.4,Cash
1847,324,186,9,2024-03-15 06:00:00,54795.3,Credit Card
1848,720,147,9,2024-03-15 06:00:00,120698.7,Credit Card
1849,969,186,9,2024-03-15 06:00:00,551003.8,Credit Card
1850,967,147,9,2024-03-15 06:00:00,100544.4,Credit Card
1851,823,186,9,2024-03-15 06:00:00,755817.7,Cash
1852,164,186,9,2024-03-15 06:00:00,180996.0,Cash
1853,350,147,9,2024-03-15 06:00:00,680233.5,Cash
1854,889,186,9,2024-03-15 06:00:00,87804.1,Cash
1855,291,147,9,2024-03-15 06:00:00,144588.4,Cash
1856,204,147,9,2024-03-15 06:00:00,199037.0,Credit Card
1857,789,147,9,2024-03-15 06:00:00,188432.2,Cash
1858,622,186,9,2024-03-15 06:00:00,100084.4,Credit Card
1859,848,194,10,2024-03-15 06:00:00,433172.0,Credit Card
1860,629,194,10,2024-03-15 06:00:00,135850.5,Credit Card
1861,815,26,10,2024-03-15 06:00:00,654719.4,Cash
1862,970,26,10,2024-03-15 06:00:00,544476.4,Cash
1863,960,26,10,2024-03-15 06:00:00,146166.5,Cash
3741,510,54,1,2024-03-15 07:00:00,126981.8,Credit Card
3742,546,54,1,2024-03-15 07:00:00,580051.7000000001,Cash
3743,89,54,1,2024-03-15 07:00:00,731577.9000000001,Credit Card
3744,378,54,1,2024-03-15 07:00:00,290622.1,Cash
3745,436,305,1,2024-03-15 07:00:00,100622.5,Credit Card
3746,856,54,1,2024-03-15 07:00:00,723058.3,Credit Card
3747,122,91,2,2024-03-15 07:00:00,165028.09999999998,Credit Card
3748,27,302,2,2024-03-15 07:00:00,813913.7,Cash
3749,896,91,2,2024-03-15 07:00:00,502840.1,Credit Card
3750,811,202,2,2024-03-15 07:00:00,218496.6,Credit Card
3751,851,295,2,2024-03-15 07:00:00,223051.0,Cash
3752,412,31,3,2024-03-15 07:00:00,110106.7,Credit Card
3753,925,216,3,2024-03-15 07:00:00,949532.1,Credit Card
3754,760,376,3,2024-03-15 07:00:00,1051967.5,Cash
3755,932,31,3,2024-03-15 07:00:00,152698.90000000002,Cash
3756,86,216,3,2024-03-15 07:00:00,909659.7,Cash
3757,914,376,3,2024-03-15 07:00:00,578678.2,Credit Card
3758,800,299,3,2024-03-15 07:00:00,148652.5,Cash
3759,487,258,3,2024-03-15 07:00:00,978603.8,Cash
3760,347,376,3,2024-03-15 07:00:00,1048093.9,Credit Card
3761,809,299,3,2024-03-15 07:00:00,137621.6,Cash
3762,725,216,3,2024-03-15 07:00:00,837700.8,Credit Card
3763,61,258,3,2024-03-15 07:00:00,140808.8,Credit Card
3764,522,299,3,2024-03-15 07:00:00,703785.7,Credit Card
3765,729,216,3,2024-03-15 07:00:00,656045.8,Credit Card
3766,753,139,4,2024-03-15 07:00:00,854866.9,Cash
3767,754,139,4,2024-03-15 07:00:00,80978.0,Credit Card
3768,73,46,4,2024-03-15 07:00:00,108357.6,Credit Card
3769,384,46,4,2024-03-15 07:00:00,124007.3,Cash
3770,542,139,4,2024-03-15 07:00:00,663724.7000000001,Cash
3771,608,69,4,2024-03-15 07:00:00,1019363.5,Cash
3772,274,480,4,2024-03-15 07:00:00,911526.4,Credit Card
3773,480,221,5,2024-03-15 07:00:00,107989.6,Credit Card
3774,133,8,5,2024-03-15 07:00:00,680929.8999999999,Cash
3775,274,190,5,2024-03-15 07:00:00,1127314.4,Cash
3776,852,221,5,2024-03-15 07:00:00,68990.3,Cash
3777,449,8,5,2024-03-15 07:00:00,135357.3,Credit Card
3778,833,221,5,2024-03-15 07:00:00,1180731.7999999998,Credit Card
3779,656,472,5,2024-03-15 07:00:00,102085.5,Credit Card
3780,863,146,5,2024-03-15 07:00:00,883017.5,Credit Card
3781,672,221,5,2024-03-15 07:00:00,127028.69999999998,Cash
3782,921,221,5,2024-03-15 07:00:00,121886.4,Cash
3783,419,297,6,2024-03-15 07:00:00,688626.6,Credit Card
3784,145,161,6,2024-03-15 07:00:00,137636.40000000002,Cash
3785,515,205,6,2024-03-15 07:00:00,117359.8,Credit Card
3786,40,58,6,2024-03-15 07:00:00,556545.2,Cash
3787,873,481,6,2024-03-15 07:00:00,163635.1,Cash
3788,755,58,6,2024-03-15 07:00:00,521483.2,Credit Card
3789,471,58,6,2024-03-15 07:00:00,55291.2,Credit Card
3790,321,111,6,2024-03-15 07:00:00,190747.9,Cash
3791,670,161,6,2024-03-15 07:00:00,107569.1,Cash
3792,205,312,6,2024-03-15 07:00:00,911370.9,Cash
3793,839,58,6,2024-03-15 07:00:00,629337.2,Cash
3794,769,297,6,2024-03-15 07:00:00,131027.5,Credit Card
3795,48,275,6,2024-03-15 07:00:00,179509.2,Cash
3796,951,205,6,2024-03-15 07:00:00,943837.1,Cash
3797,766,205,6,2024-03-15 07:00:00,119530.1,Cash
3798,116,251,7,2024-03-15 07:00:00,134302.9,Credit Card
3799,53,331,7,2024-03-15 07:00:00,393977.1,Credit Card
3800,679,262,7,2024-03-15 07:00:00,153068.0,Cash
3801,185,13,7,2024-03-15 07:00:00,69237.79999999999,Cash
3802,410,13,7,2024-03-15 07:00:00,1131268.5,Credit Card
3803,305,262,7,2024-03-15 07:00:00,75757.40000000001,Credit Card
3804,978,343,7,2024-03-15 07:00:00,133049.69999999998,Credit Card
3805,127,378,7,2024-03-15 07:00:00,111927.6,Cash
3806,674,378,7,2024-03-15 07:00:00,134105.2,Cash
3807,295,331,7,2024-03-15 07:00:00,133664.5,Cash
3808,822,490,7,2024-03-15 07:00:00,140728.9,Credit Card
3809,681,251,7,2024-03-15 07:00:00,166816.7,Cash
3810,392,378,7,2024-03-15 07:00:00,161384.5,Cash
3811,523,382,8,2024-03-15 07:00:00,152505.7,Credit Card
3812,813,112,8,2024-03-15 07:00:00,442131.2,Credit Card
3813,678,157,8,2024-03-15 07:00:00,136022.59999999998,Credit Card
3814,835,332,8,2024-03-15 07:00:00,128145.7,Credit Card
3815,76,322,8,2024-03-15 07:00:00,1062558.7999999998,Cash
3816,395,193,8,2024-03-15 07:00:00,754847.3,Cash
3817,921,382,8,2024-03-15 07:00:00,141635.2,Cash
3818,265,112,8,2024-03-15 07:00:00,362160.6000000001,Cash
3819,113,71,8,2024-03-15 07:00:00,332768.5,Cash
3820,699,147,9,2024-03-15 07:00:00,746009.3,Credit Card
3821,68,147,9,2024-03-15 07:00:00,68807.2,Credit Card
3822,931,186,9,2024-03-15 07:00:00,91264.4,Cash
3823,706,186,9,2024-03-15 07:00:00,76866.1,Cash
3824,249,147,9,2024-03-15 07:00:00,191266.0,Credit Card
3825,233,186,9,2024-03-15 07:00:00,378718.0,Credit Card
3826,286,147,9,2024-03-15 07:00:00,175947.5,Credit Card
3827,456,186,9,2024-03-15 07:00:00,338286.30000000005,Credit Card
3828,697,26,10,2024-03-15 07:00:00,215637.0,Cash
3829,166,26,10,2024-03-15 07:00:00,193423.5,Cash
3830,984,194,10,2024-03-15 07:00:00,649402.2999999999,Cash
3831,411,26,10,2024-03-15 07:00:00,114822.2,Cash
3832,779,194,10,2024-03-15 07:00:00,694015.2000000001,Cash
3833,48,26,10,2024-03-15 07:00:00,207928.6,Credit Card
3834,461,26,10,2024-03-15 07:00:00,149809.90000000002,Credit Card
3835,418,26,10,2024-03-15 07:00:00,773373.7,Credit Card
3836,561,194,10,2024-03-15 07:00:00,923062.0,Credit Card
3837,982,194,10,2024-03-15 07:00:00,701513.1000000001,Cash
3838,766,26,10,2024-03-15 07:00:00,75022.3,Cash
3839,455,194,10,2024-03-15 07:00:00,485083.0,Credit Card
3840,913,26,10,2024-03-15 07:00:00,885354.6,Credit Card
5760,84,305,1,2024-03-15 08:00:00,171526.6,Credit Card
5761,467,54,1,2024-03-15 08:00:00,804495.1,Cash
5762,698,54,1,2024-03-15 08:00:00,649540.7,Credit Card
5763,661,54,1,2024-03-15 08:00:00,875360.6000000001,Credit Card
5764,680,54,1,2024-03-15 08:00:00,1239951.6,Credit Card
5765,198,305,1,2024-03-15 08:00:00,786769.0,Credit Card
5766,178,54,1,2024-03-15 08:00:00,882594.6000000001,Cash
5767,200,305,1,2024-03-15 08:00:00,300063.1,Cash
5768,417,302,2,2024-03-15 08:00:00,92025.3,Cash
5769,945,257,2,2024-03-15 08:00:00,529485.7,Cash
5770,181,257,2,2024-03-15 08:00:00,380652.7,Credit Card
5771,244,295,2,2024-03-15 08:00:00,139889.7,Cash
5772,894,295,2,2024-03-15 08:00:00,149662.90000000002,Credit Card
5773,419,345,2,2024-03-15 08:00:00,474017.6,Cash
5774,978,345,2,2024-03-15 08:00:00,153924.7,Credit Card
5775,288,202,2,2024-03-15 08:00:00,83646.2,Credit Card
5776,904,91,2,2024-03-15 08:00:00,1007549.6,Credit Card
5777,160,448,2,2024-03-15 08:00:00,93204.9,Cash
5778,843,295,2,2024-03-15 08:00:00,429427.8,Cash
5779,171,216,3,2024-03-15 08:00:00,561087.3,Credit Card
5780,85,216,3,2024-03-15 08:00:00,907671.3,Credit Card
5781,221,376,3,2024-03-15 08:00:00,764941.5,Cash
5782,967,31,3,2024-03-15 08:00:00,189079.8,Cash
5783,306,376,3,2024-03-15 08:00:00,131222.5,Cash
5784,862,299,3,2024-03-15 08:00:00,772339.4,Cash
5785,911,258,3,2024-03-15 08:00:00,144514.09999999998,Credit Card
5786,721,258,3,2024-03-15 08:00:00,138656.90000000002,Credit Card
5787,628,376,3,2024-03-15 08:00:00,174715.59999999998,Credit Card
5788,81,216,3,2024-03-15 08:00:00,675708.4,Cash
5789,85,376,3,2024-03-15 08:00:00,673173.1,Cash
5790,994,299,3,2024-03-15 08:00:00,682917.8,Credit Card
5791,667,258,3,2024-03-15 08:00:00,128540.6,Cash
5792,627,69,4,2024-03-15 08:00:00,654079.2999999999,Credit Card
5793,355,480,4,2024-03-15 08:00:00,759465.8,Credit Card
5794,936,480,4,2024-03-15 08:00:00,182798.5,Credit Card
5795,116,139,4,2024-03-15 08:00:00,111728.8,Credit Card
5796,792,69,4,2024-03-15 08:00:00,620049.6,Cash
5797,717,46,4,2024-03-15 08:00:00,922721.2,Cash
5798,897,139,4,2024-03-15 08:00:00,547512.3,Credit Card
5799,670,139,4,2024-03-15 08:00:00,141951.59999999998,Credit Card
5800,342,69,4,2024-03-15 08:00:00,78641.9,Cash
5801,760,69,4,2024-03-15 08:00:00,729007.2999999999,Cash
5802,8,480,4,2024-03-15 08:00:00,780493.9000000001,Cash
5803,50,69,4,2024-03-15 08:00:00,143668.4,Credit Card
5804,940,139,4,2024-03-15 08:00:00,133654.4,Credit Card
5805,283,480,4,2024-03-15 08:00:00,695895.4,Cash
5806,184,221,5,2024-03-15 08:00:00,577166.1,Cash
5807,350,190,5,2024-03-15 08:00:00,566014.5,Cash
5808,197,146,5,2024-03-15 08:00:00,449907.5,Cash
5809,29,190,5,2024-03-15 08:00:00,595847.4,Credit Card
5810,730,472,5,2024-03-15 08:00:00,127881.80000000002,Credit Card
5811,169,146,5,2024-03-15 08:00:00,579638.5,Cash
5812,948,319,5,2024-03-15 08:00:00,196576.60000000003,Cash
5813,973,221,5,2024-03-15 08:00:00,125708.4,Cash
5814,679,221,5,2024-03-15 08:00:00,103102.2,Cash
5815,874,190,5,2024-03-15 08:00:00,213546.6,Credit Card
5816,264,190,5,2024-03-15 08:00:00,127350.0,Credit Card
5817,843,190,5,2024-03-15 08:00:00,860555.3,Credit Card
5818,230,297,6,2024-03-15 08:00:00,158210.3,Credit Card
5819,159,312,6,2024-03-15 08:00:00,159147.80000000002,Cash
5820,286,161,6,2024-03-15 08:00:00,155895.5,Cash
5821,126,111,6,2024-03-15 08:00:00,103471.1,Credit Card
5822,948,58,6,2024-03-15 08:00:00,222812.7,Cash
5823,199,275,6,2024-03-15 08:00:00,102966.9,Cash
5824,780,481,6,2024-03-15 08:00:00,142754.69999999998,Cash
5825,270,111,6,2024-03-15 08:00:00,131239.1,Cash
5826,255,481,6,2024-03-15 08:00:00,89623.0,Cash
5827,861,205,6,2024-03-15 08:00:00,76023.3,Credit Card
5828,534,297,6,2024-03-15 08:00:00,993227.1,Credit Card
5829,610,205,6,2024-03-15 08:00:00,215142.0,Credit Card
5830,333,205,6,2024-03-15 08:00:00,106038.1,Credit Card
5831,425,111,6,2024-03-15 08:00:00,142784.3,Credit Card
5832,114,343,7,2024-03-15 08:00:00,952043.2,Cash
5833,335,13,7,2024-03-15 08:00:00,166757.0,Credit Card
5834,280,378,7,2024-03-15 08:00:00,754264.5,Cash
5835,664,490,7,2024-03-15 08:00:00,549490.7999999999,Credit Card
5836,115,331,7,2024-03-15 08:00:00,978349.4,Cash
5837,257,251,7,2024-03-15 08:00:00,268346.30000000005,Cash
5838,279,343,7,2024-03-15 08:00:00,155382.1,Credit Card
5839,827,382,8,2024-03-15 08:00:00,117060.7,Credit Card
5840,586,332,8,2024-03-15 08:00:00,67204.4,Credit Card
5841,808,157,8,2024-03-15 08:00:00,899093.0999999999,Cash
5842,30,322,8,2024-03-15 08:00:00,178402.3,Credit Card
5843,502,71,8,2024-03-15 08:00:00,1099053.2,Cash
5844,210,157,8,2024-03-15 08:00:00,208285.6,Cash
5845,512,193,8,2024-03-15 08:00:00,60779.5,Cash
5846,748,193,8,2024-03-15 08:00:00,530362.8,Cash
5847,623,382,8,2024-03-15 08:00:00,223984.9,Credit Card
5848,31,193,8,2024-03-15 08:00:00,127134.6,Cash
5849,528,112,8,2024-03-15 08:00:00,529213.6,Cash
5850,970,157,8,2024-03-15 08:00:00,321192.6,Credit Card
5851,137,322,8,2024-03-15 08:00:00,149377.5,Credit Card
5852,150,157,8,2024-03-15 08:00:00,60725.2,Credit Card
5853,461,147,9,2024-03-15 08:00:00,93733.1,Credit Card
5854,637,186,9,2024-03-15 08:00:00,662268.1000000001,Credit Card
5855,800,186,9,2024-03-15 08:00:00,75946.1,Credit Card
5856,244,147,9,2024-03-15 08:00:00,116716.7,Credit Card
5857,117,147,9,2024-03-15 08:00:00,160129.69999999998,Credit Card
5858,408,186,9,2024-03-15 08:00:00,130152.59999999998,Cash
5859,50,147,9,2024-03-15 08:00:00,102350.5,Cash
5860,883,186,9,2024-03-15 08:00:00,150217.59999999998,Credit Card
5861,815,26,10,2024-03-15 08:00:00,314020.8,Cash
5862,416,194,10,2024-03-15 08:00:00,87787.5,Cash
5863,422,194,10,2024-03-15 08:00:00,52101.3,Cash
5864,419,194,10,2024-03-15 08:00:00,990812.0,Cash
5865,93,194,10,2024-03-15 08:00:00,50735.90000000001,Credit Card
5866,256,26,10,2024-03-15 08:00:00,109136.9,Credit Card
5867,275,194,10,2024-03-15 08:00:00,761403.4,Cash
5868,770,26,10,2024-03-15 08:00:00,144681.5,Cash
7746,776,305,1,2024-03-15 09:00:00,93519.5,Credit Card
7747,506,305,1,2024-03-15 09:00:00,634038.2999999999,Credit Card
7748,176,305,1,2024-03-15 09:00:00,92022.6,Credit Card
7749,896,305,1,2024-03-15 09:00:00,677346.3,Cash
7750,599,54,1,2024-03-15 09:00:00,87093.7,Credit Card
7751,188,54,1,2024-03-15 09:00:00,1029140.7,Cash
7752,639,91,2,2024-03-15 09:00:00,104204.4,Cash
7753,620,302,2,2024-03-15 09:00:00,197570.4,Cash
7754,153,91,2,2024-03-15 09:00:00,332541.4,Cash
7755,660,216,3,2024-03-15 09:00:00,569612.2,Cash
7756,569,216,3,2024-03-15 09:00:00,951629.5,Cash
7757,416,299,3,2024-03-15 09:00:00,190312.8,Cash
7758,127,31,3,2024-03-15 09:00:00,120997.8,Credit Card
7759,875,258,3,2024-03-15 09:00:00,967611.4,Cash
7760,394,299,3,2024-03-15 09:00:00,226203.2,Credit Card
7761,351,376,3,2024-03-15 09:00:00,177916.5,Cash
7762,234,31,3,2024-03-15 09:00:00,180739.3,Credit Card
7763,303,69,4,2024-03-15 09:00:00,80714.8,Credit Card
7764,253,139,4,2024-03-15 09:00:00,109808.7,Credit Card
7765,538,480,4,2024-03-15 09:00:00,840772.7000000001,Cash
7766,672,46,4,2024-03-15 09:00:00,112374.80000000002,Cash
7767,602,46,4,2024-03-15 09:00:00,526247.6000000001,Cash
7768,345,480,4,2024-03-15 09:00:00,763818.5,Credit Card
7769,891,46,4,2024-03-15 09:00:00,785012.8,Cash
7770,586,480,4,2024-03-15 09:00:00,120054.7,Credit Card
7771,517,69,4,2024-03-15 09:00:00,644642.3,Cash
7772,847,480,4,2024-03-15 09:00:00,299661.4,Cash
7773,232,221,5,2024-03-15 09:00:00,867628.8,Cash
7774,287,146,5,2024-03-15 09:00:00,605645.3,Cash
7775,642,319,5,2024-03-15 09:00:00,703176.9,Credit Card
7776,1,146,5,2024-03-15 09:00:00,969510.5,Cash
7777,786,58,6,2024-03-15 09:00:00,140217.3,Credit Card
7778,602,481,6,2024-03-15 09:00:00,526420.4,Credit Card
7779,91,275,6,2024-03-15 09:00:00,112469.5,Cash
7780,728,262,7,2024-03-15 09:00:00,211458.0,Cash
7781,158,251,7,2024-03-15 09:00:00,627416.6,Credit Card
7782,595,13,7,2024-03-15 09:00:00,105386.7,Credit Card
7783,463,251,7,2024-03-15 09:00:00,133249.4,Credit Card
7784,694,382,8,2024-03-15 09:00:00,115549.9,Credit Card
7785,504,157,8,2024-03-15 09:00:00,590152.1,Cash
7786,806,157,8,2024-03-15 09:00:00,197941.10000000003,Cash
7787,859,11,8,2024-03-15 09:00:00,129548.1,Credit Card
7788,302,193,8,2024-03-15 09:00:00,52321.2,Credit Card
7789,159,186,9,2024-03-15 09:00:00,107868.2,Credit Card
7790,503,186,9,2024-03-15 09:00:00,770860.3,Credit Card
